Id,Name,Price,CreatedAtUtc
690794ff30ccc1313215067a,Running Shoes,59.99,2025-10-31T10:00:00.0000000Z
690794ff30ccc1313215067b,Casual Sneakers,42.5,2025-10-30T09:30:00.0000000Z
690794ff30ccc1313215067c,Leather Boots,120,2025-10-29T11:45:00.0000000Z
690794ff30ccc1313215067d,Canvas Sandals,22.75,2025-10-28T14:15:00.0000000Z
690794ff30ccc1313215067e,Formal Shoes,89.9,2025-10-27T16:20:00.0000000Z
690794ff30ccc1313215067f,Hiking Boots,135.49,2025-10-26T08:00:00.0000000Z
690794ff30ccc13132150680,Flip Flops,9.99,2025-10-25T13:05:00.0000000Z
690794ff30ccc13132150681,Trail Running Shoes,78.3,2025-10-24T18:45:00.0000000Z
690794ff30ccc13132150682,Slippers,15,2025-10-23T12:30:00.0000000Z
690794ff30ccc13132150683,High Heels,65,2025-10-22T09:00:00.0000000Z
